Problem,Bounds_min,Bounds_max
t1d100.01,106852, 114468
t1d100.03,109819, 117843
t1d100.05,108859, 117538
t1d100.07,108803, 117118
t1d100.09,108549, 116527
t1d100.11,107920, 116637
t1d100.13,108702, 116816
t1d100.15,108667, 117221
t1d100.17,105612, 113860
t1d100.19,108026, 116987
t1d100.21,107255, 116326
t1d100.23,106146, 113264
t1d100.25,106933, 115311
t1d150.02,234421, 261964
t1d150.04,234506, 260037
t1d150.06,234465, 257685
t1d150.08,237230, 264958
t1d150.10,234821, 260359
t1d150.12,236318, 262105
t1d150.14,234453, 259552
t1d150.16,232948, 258626
t1d150.18,234348, 259865
t1d150.20,235411, 260652
t1d150.22,235415, 260134
t1d150.24,236016, 261151
t1d200.01,410871, 459555
t1d200.03,407420, 459905
t1d200.05,411522, 462358
t1d200.07,412482, 460054
t1d200.09,409308, 457683
t1d200.11,410239, 462167
t1d200.13,409234, 459659
t1d200.15,409061, 463328
t1d200.17,410280, 461326
t1d200.19,412947, 455589
t1d200.21,408037, 469845
t1d200.23,408552, 460653
t1d200.25,406356, 458197
t1d500.02,2411570,4207198
t1d500.04,2413600,4221950
t1d500.06,2399394,4190956
t1d500.08,2413108,4206654
t1d500.10,2404420,4198760
t1d500.12,2402581,4194185
t1d500.14,2410693,4200887
t1d500.16,2416067,4200206
t1d500.18,2421159,4222286
t1d500.20,2414713,4207789
t1d500.22,2408164,4208557
t1d500.24,2402712,4191909
t1d100.02,105947, 114077
t1d100.04,109252, 117639
t1d100.06,108201, 117057
t1d100.08,107480, 115756
t1d100.10,108771, 117518
t1d100.12,108389, 116617
t1d100.14,105583, 114199
t1d100.16,107426, 115781
t1d100.18,107861, 115959
t1d100.20,109968, 119008
t1d100.22,108250, 116987
t1d100.24,108782, 116959
t1d150.01,235056, 258334
t1d150.03,236319, 261648
t1d150.05,234601, 260155
t1d150.07,235283, 257133
t1d150.09,237253, 258980
t1d150.11,234157, 259316
t1d150.13,237116, 262727
t1d150.15,232065, 257699
t1d150.17,236656, 262929
t1d150.19,234994, 260286
t1d150.21,233980, 259087
t1d150.23,233492, 258077
t1d150.25,236428, 261299
t1d200.02,407729, 461223
t1d200.04,410101, 465271
t1d200.06,406451, 461499
t1d200.08,408850, 462476
t1d200.10,406453, 467356
t1d200.12,412831, 465075
t1d200.14,408879, 458933
t1d200.16,408059, 463822
t1d200.18,407709, 467958
t1d200.20,406418, 455487
t1d200.22,407333, 458596
t1d200.24,410583, 459286
t1d500.01,2402357,4191813
t1d500.03,2404784,4205918
t1d500.05,2391486,4186810
t1d500.07,2400739,4198457
t1d500.09,2406223,4198840
t1d500.11,2416286,4210737
t1d500.13,2405118,4197442
t1d500.15,2411718,4208905
t1d500.17,2401800,4197344
t1d500.19,2404029,4198658
t1d500.21,2405615,4201350
t1d500.23,2408689,4197731
t1d500.25,2405718,4196590
